site_name,meter_code,name_en,raw_label,location,category_code,fallback_category_code,source_code,unit_code,level,include_in_dashboard,is_active,notes
MOEHE HQ / Permanent HQ,1256358,LVP-1,1256358    LVP-1,,electricity,electricity,kahramaa,kwh,main,true,true,Extracted from Consolidated Utility Readings (Kahramaa Electrical Meter Number)
MOEHE HQ / Permanent HQ,1256359,LVP-2A,1256359    LVP-2A,,electricity,electricity,kahramaa,kwh,main,true,true,Extracted from Consolidated Utility Readings (Kahramaa Electrical Meter Number)
MOEHE HQ / Permanent HQ,1256360,LVP-3A,1256360    LVP-3A,,electricity,electricity,kahramaa,kwh,main,true,true,Extracted from Consolidated Utility Readings (Kahramaa Electrical Meter Number)
MOEHE HQ / Permanent HQ,1256361,LVP-4,1256361    LVP-4,,electricity,electricity,kahramaa,kwh,main,true,true,Extracted from Consolidated Utility Readings (Kahramaa Electrical Meter Number)
MOEHE HQ / Permanent HQ,1256362,LVP-5,1256362    LVP-5,,electricity,electricity,kahramaa,kwh,main,true,true,Extracted from Consolidated Utility Readings (Kahramaa Electrical Meter Number)
MOEHE HQ / Permanent HQ,1256363,LVP-6,1256363    LVP-6,,electricity,electricity,kahramaa,kwh,main,true,true,Extracted from Consolidated Utility Readings (Kahramaa Electrical Meter Number)
MOEHE HQ / Permanent HQ,1256364,LVP-7A,1256364    LVP-7A,,electricity,electricity,kahramaa,kwh,main,true,true,Extracted from Consolidated Utility Readings (Kahramaa Electrical Meter Number)
MOEHE HQ / Permanent HQ,1256365,LVP-8A,1256365    LVP-8A,,electricity,electricity,kahramaa,kwh,main,true,true,Extracted from Consolidated Utility Readings (Kahramaa Electrical Meter Number)
MOEHE HQ / Permanent HQ,CHW-LOOP-1,CHW-Loop 1 (Energy GJ),CHW-Loop 1,,btu,btu,chilled_water,gj,main,true,true,CHW energy loop from chillers (GJ) — COP with LVP-4/5
MOEHE HQ / Permanent HQ,CHW-LOOP-2,CHW-Loop 2 (Energy GJ),CHW-Loop 2,,btu,btu,chilled_water,gj,main,true,true,CHW energy loop from chillers (GJ) — COP with LVP-4/5
MOEHE HQ / Permanent HQ,CHW-LOOP-3,CHW-Loop 3 (Energy GJ),CHW-Loop 3,,btu,btu,chilled_water,gj,main,true,true,CHW energy loop from chillers (GJ) — COP with LVP-4/5
MOEHE HQ / Permanent HQ,COLING-TOWER--BLOWDOWN,Coling Tower- Blowdown,Coling Tower- Blowdown,,flow,water,cooling_tower_blowdown,m3,main,true,true,Extracted from Consolidated Utility Readings (Energy & Flow Meters / Location)
MOEHE HQ / Permanent HQ,MAKEUP-KAHRAMMA,Makeup-KAHRAMMA,Makeup-KAHRAMMA,,flow,water,kahramaa,m3,main,true,true,Extracted from Consolidated Utility Readings (Energy & Flow Meters / Location)
MOEHE HQ / Permanent HQ,MAKEUP-RO,Makeup-RO,Makeup-RO,,flow,water,ro,m3,main,true,true,Extracted from Consolidated Utility Readings (Energy & Flow Meters / Location)
MOEHE HQ / Permanent HQ,STORM-WATER,Storm Water,Storm Water,,flow,water,storm_water,m3,main,true,true,Extracted from Consolidated Utility Readings (Energy & Flow Meters / Location)
MOEHE HQ / Permanent HQ,CAP-3000,CAP 3000,CAP 3000 (Beside Generator-02),Beside Generator-02,fuel,fuel,diesel,liter,main,true,true,Extracted from Consolidated Utility Readings (Diesel Meter No. / Location)
MOEHE HQ / Permanent HQ,ETD-1000,ETD 1000,ETD 1000 (Beside Diesel Truck Uploading Point),Beside Diesel Truck Uploading Point,fuel,fuel,diesel,liter,main,true,true,Extracted from Consolidated Utility Readings (Diesel Meter No. / Location)
MOEHE HQ / Permanent HQ,TMS-2000,TMS 2000 (Inside Diesel Generator Room),TMS 2000 (Inside Diesel Generator Room) in Liters,,fuel,fuel,diesel,liter,main,true,true,Extracted from Consolidated Utility Readings (Diesel Meter No. / Location)
MOEHE HQ / Permanent HQ,1219053,1219053,1219053 (Beside Entrance Gate-05),Beside Entrance Gate-05,water,water,kahramaa,m3,main,true,true,Extracted from Consolidated Utility Readings (Domestic Water Meter No. / Location)
MOEHE HQ / Permanent HQ,1545002323,1545002323,1545002323 (Make Up Water Pump),Make Up Water Pump,water,water,tse,m3,main,true,true,Extracted from Consolidated Utility Readings (TSE Water Meter No. / Location)
MOEHE HQ / Permanent HQ,19ACI-005333,19ACI 005333,19ACI 005333 (Under Ground beside Ramp 4 exit),Under Ground beside Ramp 4 exit,water,water,tse,m3,main,true,true,Extracted from Consolidated Utility Readings (TSE Water Meter No. / Location)
MOEHE HQ / Permanent HQ,K22223190003505907,K22223190003505907,K22223190003505907 (Irrigatation Water Tank Room),Irrigatation Water Tank Room,water,water,irrigation,m3,main,true,true,Extracted from Consolidated Utility Readings (TSE Water Meter No. / Location)
MOEHE HQ / Permanent HQ,KF-18530916,KF-18530916,KF-18530916  (Inside Portable Water Tank Room),Inside Portable Water Tank Room,water,water,kahramaa,m3,main,true,true,Extracted from Consolidated Utility Readings (Domestic Water Meter No. / Location)
MOEHE HQ / Permanent HQ,KF-18540109,KF-18540109,KF-18540109 (Beside Exit Gate Room and Generator Room),Beside Exit Gate Room and Generator Room,water,water,kahramaa,m3,main,true,true,Extracted from Consolidated Utility Readings (Domestic Water Meter No. / Location)
MOEHE HQ / Permanent HQ,KF-18540133,KF-18540133,KF-18540133 (TSE Tank & Pump Room),TSE Tank & Pump Room,water,water,tse,m3,main,true,true,Extracted from Consolidated Utility Readings (TSE Water Meter No. / Location)
MOEHE HQ / Permanent HQ,KHA-WATER-METER-FOR-B1,KHA Water Meter for B1,KHA Water Meter for B1,,water,water,kahramaa,m3,main,true,true,Extracted from Consolidated Utility Readings (TSE Water Meter No. / Location)
MOEHE HQ / Permanent HQ,KHA-WATER-METER-FOR-B2,KHA Water Meter for B2,KHA Water Meter for B2,,water,water,kahramaa,m3,main,true,true,Extracted from Consolidated Utility Readings (TSE Water Meter No. / Location)
MOEHE HQ / Permanent HQ,KHA-WATER-METER-FOR-B3,KHA Water Meter for B3,KHA Water Meter for B3,,water,water,kahramaa,m3,main,true,true,Extracted from Consolidated Utility Readings (TSE Water Meter No. / Location)
MOEHE HQ / Permanent HQ,KHA-WATER-METER-FOR-B4,KHA Water Meter for B4,KHA Water Meter for B4,,water,water,kahramaa,m3,main,true,true,Extracted from Consolidated Utility Readings (TSE Water Meter No. / Location)
MOEHE HQ / Permanent HQ,KHA-WATER-METER-FOR-B5,KHA Water Meter for B5,KHA Water Meter for B5,,water,water,kahramaa,m3,main,true,true,Extracted from Consolidated Utility Readings (TSE Water Meter No. / Location)
MOEHE HQ / Permanent HQ,KHA-WATER-METER-FOR-GR1,KHA Water Meter for GR1,KHA Water Meter for GR1,,water,water,kahramaa,m3,main,true,true,Extracted from Consolidated Utility Readings (TSE Water Meter No. / Location)
MOEHE HQ / Permanent HQ,KHA-WATER-METER-FOR-GR2,KHA Water Meter for GR2,KHA Water Meter for GR2,,water,water,kahramaa,m3,main,true,true,Extracted from Consolidated Utility Readings (TSE Water Meter No. / Location)
